Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4074.png,"F-MO H 196, fol. 66 v (196 / 197 / M13)",,Mout me fu griés. li departir de m'amiete la bele au cors gent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image4076.png,"D-BAs Lit. 115, fol. 27 ra (196 / 197 / M13)",,Mout me fu griés li departir de m'amiete la bele au cors gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"[F-B I, 716, n° 13b] (196 / M13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),"Mout me fu griés li departir (déb.) / Robin m'aime, Robin m'a / Portare","Lu: 297 / 298 / M22   L: 265-1179   L: 2-60   MW: 614, 1   ",,,,265-1179 / 2-60,,,"614, 1",297 / 298 / M22,Initial,Motet,Adam de la Halle?   (Maillard),,,,,,,,,,,,1,1_files/image4078.png,"D-BAs Lit. 115, fol. 52 va",,Mout me fu griés li departir de m'amiete la iolie au cler uis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4080.png,"F-MO H 196, fol. 292 ra",,Mout me fu grief li departir de m'amiete la iolie au cler uis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"[F-B I, 716, n° 43]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,,,,"Musairs, tu me truffes; kier aillors ta truffe.",1,lyrique (monodie),L'autre jour me chevauchai (Tout),"RS: 70   L: 265-998   MW: 321, 1   ",,,70,265-998,,,"321, 1",,,Pastourelle à refrain (5 st.),?,,,,,Une bergère,,,,,Chanter (st. 1),,1,,"GB-Ob Douce 308, fol. 204 (214) ra",Musairs]musairs st. I; truffe]truffe. st. I,,,,,,,,,,,,,,,,musairs tu me truffes kier aillors ta truffe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A'5,Refrain st. II-V: manquant,,,,,,,,,,,,
1348,,,,"N'atouchiez pas a mon chainse, sire chevalier.",1,lyrique (monodie),Quant je chevauchoie,"RS: 1698 II   L: 265-1425   T: L54   MW: 763, 1   ",,,1698 II,265-1425,L54,,"763, 1",,,Chanson avec des refrains,?,,,,,Une dame,L'auteur,,,,,Répondre,1,,"F-Pa 5198, p. 351 a",N'atouchiez]n'atouchiez; chevalier]cheualier.,n'atouchiez pas a mon chainse sire cheualier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Répondre,2,,"F-Pn fr. 845, fol. 170 va",N'atouchiez]n'atouchiez; sire chevalier]cheualier.,n'atouchiez pas a mon chainse cheualier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Répondre,3,,"F-Pn nouv. acq. fr. 1050, fol. 229 va",N'atouchiez]n'atouchiez; chevalier]cheualier.,n'atouchiez pas a mon chainse sire cheualier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B5,,,,,,,,,,,,,
1349,,,,"Navrei m'ait la belle qui mon cuer ait; Dues, mort m'avrait, c'elle de moi mercit n'ait.",1,lyrique (monodie),"Amour, cui je voil servir et amer","RS: 764   L: 265-71   MW: 217, 12   ",,,764,265-71,,,"217, 12",,,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 214 (226) ra",Navrei]Naurei st. I; ait]ait. st. I; Dues]dues st. I; m'avrait]m'aurait. st. I; n'ait]n'ait. st. I,,,,,,,,,,,,,,,,Naurei m'ait. la belle qui mon cuer ait dues mort m'aurait. c'elle de moi mercit n'ait.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3A7A4A7,Refrain st. II-III: manquant,,,,,,,,,,,,
1350,,,,"Navrez sui prés du cuer sanz plaie, las, si ne sai qui le fer m'en traie.",1,littéraire,Chauvency v. 1292,1285   ,1285,,,,,,,,,Chronique,Jacques Bretel,,,,,Florent de Hainaut,L'ensemble des marcheurs,Arrivée au château de Chauvency après les joutes du lundi,Carole,Commencer,Chanson,,1,,"B-Mbu 330-215, fol. 89 ra (M)",Navrez]Naurez; du]dou; las si ne sai]diex si ne truis; qui]qui,Naurez sui prés dou cuer sanz plaie diex si ne truis qui les fer m'en traie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
,,,,,2,littéraire,Debat v. 33-34,Fin xiiie-début xive   ,Fin xiiie-début xive   ,,,,,,,,,Débat strophique,?,,,,,le clerc,La demoiselle,Conclusion de la st. 8 (satisfaction d'aimer),,,,,1,,"F-Pn nouv. acq. fr. 4531, fol. 95 v",Navrez]nauré; plaie]plaie. las]diex; m'en]en; traie]traie.,nauré sui prés du cuer sanz plaie. diex si ne sai qui le fer en traie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
,,,,,3,littéraire,Navrez sui prés du cuer sanz plaie,"vdB: Rond. 35   L: 265-1192   T: R28   MW: 217, 16   ",,35,,265-1192,R28,,"217, 16",,,Rondeau,?,Salut d'amour   « Celui qu'Amors conduit et maine… » v. 107-114,Mi xiiie,Salut d'amour,?,l'auteur,,,,,,,1,,"F-Pn fr. 837, fol. 254 rb",Navrez]naurez; prés]pres v. 107/113; qui]qui; naurez sui ne sai qui m'aie. v. 110,naurez sui prés du cuer sanz plaie las si ne sai qui le fer m'en traie.,,naurez sui prés du cuer sanz plaie las si ne sai qui le fer m'en traie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
,,,,,4,lyrique (polyphonie),Navrés sui au cuer si   trés doucement / Navrés sui pres du cuer sans plaie  (enté) /   Veritatem,"Lu: 459 / 460 / M37   L: 265-1190   MW: 980, 1   ",,,,265-1190,,,"980, 1",459 / 460 / M37,Enté,Motet,?,,,,,,,,,,,,1,1_files/image4082.png,"F-MO H 196, fol. 156 r",,Naurés sui prés du cuer sans plaie diex si ne sai qui le fer m'en traie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4084.png,"D-BAs Lit. 115, fol. 46 vb",,Naurés sui prés dou cuer sans plaie dieus si ne sai qui le fer m'en traie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
,,,,,5,lyrique (monodie),Navré sui prés du cuer sans plaie (enté),"Lu: 1092   T: 380   L: 265-1191   MW: 1503, 1   ",,,,265-1191,,380,"1503, 1",1092,Enté,Motet?,?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 243 (256) va",,Naureis suix pres dou cuer san plaie. deus ie ne truis ki lou fer m'an traie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'9,,,,,,,,,,,,,
1351,,,,Ne doit pas le bien sentir d'amours qui n'en sent le mal.,1,littéraire,Prison v. 2680-2681,1240-1280   ,1240-1280   ,,,,,,,,,Dit allégorique,Baudouin de Condé,,,,,l'auteur,Le lecteur,Evocation des acteurs de la roue de Fortune (Amoureuse souffrance),Commentaire,,,,1,,"A-Wn 2621, fol. 42 rb (A)",Ne]ne; bien]bien,ne doit pas le bien sentir d'amours qui n'en sent le mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,[I-Tn L. V. 32 (C)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351aa,,,,"Ne fist vers moi, je vos plevis, por coi deüst avoir m'amor.",1,lyrique (monodie),L'autreier le premier   jour de mai,"RS: 88 IV   L: 78-1   MW: 1124, 3   ",,,88 IV,78-1,,,"1124, 3",,Fin de strophe,Chanson avec des refrains,Gavaron Grazelle,,,,,,,,,,,,1,,"CH-BEb 389, fol. 129 r",Ne]ne; vers]uers; vos]uos,ne fist uers moi je uos plevis por coi deüst avoir m'amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B8,,,,,,,,,,,,,
1351a,,,,Ne jai ne m'an kier oster.,1,lyrique (monodie),Amours m'aprent a chanter,"RS: 776 (int.)   L: 265-89   MW: 682, 3   ",,,776 (int.),265-89,,,"682, 3",,Interne,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 215 (227) va","Ne]ne; jai]iai st. I/III, ia st. II; m'an]m'an st. II, me st. III; kier oster]kier oster. st. I, quier osteir. st. II",,,,,,,,,,,,,,,,ne iai ne m'an kier oster.,,,ne ia ne m'an quier osteir.,,,ne iai ne me kier oster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7,,,,,,,,,,,,,
1352,,,,Ne jai por lour janglerie ne lairai ke je ne chant.,1,lyrique (monodie),Aucuns sont qui ont envie,"RS: 1140   L: 265-163   MW: 1022, 1   ",,,1140,265-163,,,"1022, 1",,Fin de strophe,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 233 (244) vb","Ne]ne st. I/III, ne st. II; jai]iai; janglerie]janglerie st. III; lairai]larai st. III; ke]que st. II; je]ie; chant]chant.",,,,,,,,,,,,,,,,ne iai por lour janglerie ne lairai ke ie ne chant.,,,ne iai por lour janglerie ne lairai que ie ne chant.,,,ne iai por lour janglerie ne larai ke ie ne chant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,,,,,,,,,,
1353,,,,"Ne me batez pas, doleureus mari, vous ne m'avez pas norrie.",1,lyrique (monodie),Ne me batés mie,"RS: 1184   L: 265-1195   MW: 1082, 1   ",,,1184,265-1195,,,"1082, 1",,Initial / Fin de strophe,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 212 (224) ra",,,,,,,,,,,,,Ne mi bateis mies. maleuroz maris. uos ne m'aueis pas norrie,,,,,,,,,,ne me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A5A'7,Refrain st. I (fin)-II: manquant,,,,,,,,,,,,
,,,,,2,lyrique (monodie),En une praele,"RS: 607 V   L: 265-672   T: L54   MW: 763, 2   ",,,607 V,265-672,L54,,"763, 2",,Fin de strophe,Pastourelle avec des refrains,?,,,,,Une bergère,Un berger,,,,,,1,,"F-Pn fr. 20050, fol. 154 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. et refrain manquants,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S'écrier,2,,"F-Pn fr. 20050, fol. 156 v",Ne]ne; batez]bateis; pas]pais; doleureus]delirous; mari]maris.; vous]uos; m'avez]m'aveis; pas]pais,ne me bateis pais delirous maris. uos ne m'aveis pais norrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A'7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"F-Pn fr. 12615, fol. 171 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. et refrain manquants,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S'écrier,4,,"F-Pa 5198, p. 337 b",Ne]ne; mari]mari.; vous]uous; m'avez]m'auez; norrie]norrie.,ne me batez pas doleureus mari. uous ne m'auez pas norrie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A'7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S'écrier,5,,"F-Pn fr. 845, fol. 163 ra",Ne]ne; doleureus]dolereus; vous]uos; m'avez]m'auez; norrie]norrie. se uos me batez ie ferai ami si doblera la folie.,ne me batez pas dolereus mari uos ne m'auez pas norrie. se uos me batez ie ferai ami si doblera la folie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A'7A10A'7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S'écrier,6,,"F-Pn nouv. acq. fr. 1050, fol. 221 va",Ne]ne; batez]batés; doleureus]doleureus.; vous]uos; m'avez]m'auez; norrie]norie.,ne me batés pas doleureus. mari uos ne m'auez pas norie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A'7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S'écrier,7,,"F-Pn fr. 847, fol. 186 va",Ne]ne; batez]batés; doleureus]dolereus; vous]uos; m'avez]m'avés; pas norrie]norrie. se uos me batés ie fera ami si doublera la folie,ne me batés pas dolereus mari uos ne m'avés norrie. se uos me batés ie fera ami si doublera la folie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A'7A10A'7,,,,,,,,,,,,,
1354,Insérer fichiers images refrains 2 (Tu 39r / Mo 367v),,,"Ne me blasmez mie, s'en amie tant jolie ai tout mon cuer mis.",1,lyrique (polyphonie),Liés et jolis (fin) / Je n'ai joie / In seculum,"Lu: 178 / 179 / M13   L: 265-1064   MW: 601, 1   ",,,,265-1064,,,"601, 1",178 / 179 / M13,Final,Motet,?,,,,,,,,,,,,1,1_files/image4086.png,"F-MO H 196, fol. 142 v",,ne me blasmez mie s'en amie tant iolie ai tout mon cuer mis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A'3A'3A5,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),Tout solas et toute   joie   /Bone amour qui les tiens doctrine et   aprent / Ne me blasmés mie (déb.),Lu: 894 / 895 / Teneur   L: 265-1682   ,,,,265-1682,,,,894 / 895 / Teneur,Initial / Final,Motet,?,,,,,,,,,,,,1,1_files/image4090.png,"I-Tr Vari 42, fol. 39 r",,,,Ne me blameis mie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4094.png,"F-MO H 196, fol. 367 v",,,,Ne me blasmés mie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,,,,Ne me moke mie.,1,littéraire,Renart le Nouvel   v. 6876,Ca 1289   ,Ca 1289,,,,,,,,,Roman,Jaquemart Gielée,,,,,Baudouin l'âne,Vaire la jument,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chant,Chant,Dire,1,,"F-Pn fr. 1581, fol. 50 ra (L)",,ne me mokiés mie biele ne me mokiés mie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chant,Chant,Dire,2,1_files/image4096.png,"F-Pn fr. 25566, fol. 167 va (V)",,ne me mokiés mie bele ne me mokiés mie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chant,Chant,Dire,3,1_files/image4098.png,"F-Pn fr. 1593, fol. 50 (51) vb (F)",,ne me moquez mie belle ne me moquez mie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chant,Dire,4,1_files/image4100.png,"F-Pn fr. 372, fol. 52 vb (C)",,ne me moquiés mie bele ne me moquiés mie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B'5,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),Trop volentiers   ameroie,"RS: 1686   L: 265-1714   MW: 1209, 97   ",,,1686,265-1714,,,"1209, 97",,Fin de strophe,Chanson à refrain (5 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 207 (217) rb",Ne]ne; moke]mocke st. III-V,,,,,,,,,,,,,,,,ne me moke mie,,,ne me moke mie,,,ne me mocke mie,,,ne me mocke mie,,,ne me mocke mie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5,,,,,,,,,,,,,
1356,,,,"Ne m'en blasmés pas, se je m'en duel, tous les maus que j'ai, m'ont fait mi oel.",1,lyrique (polyphonie),"Ne m'en blasmés pas,   se je m'en duel (enté) / Docebit","Lu: 351 / M26   T: 279   L: 265-1196   MW: 457, 1   ",,,,265-1196,,279,"457, 1",351 / M26,Enté,Motet,?,,,,,,,,,,,,1,1_files/image4102.png,"F-Pn fr. 12615, fol. 183 r",,Ne m'en blasmés pas se ie m'en duel tous les maus ke i'ai m'ont fait mi oel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A9A9,,,,,,,,,,,,,
1357,,,,Ne m'en chaut de ce villain: chape a pluie me fera.,1,littéraire,Ovide l. 1774-1775,Ca 1240   ,Ca 1240,,,,,,,,,Œuvre didactique (prose),?,,,,,les dames,,Illustration de la glose sur la désobéissance féminine,Discours,Chanter,,,1,,"I-MOe {gamma} G. 3. 20 (Campori 42), fol. 35 v (A)",Ne]ne; chaut]chault; ce]tel; villain]vilain; chape]ma chape,ne m'en chault de tel vilain ma chape a pluie me fera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,,,2,,"F-Pa 2741, fol. 31 rb (B)",Ne]ne; m'en]me; ce]celui meschant; chape]ma chape,ne me chaut de celui meschant villain ma chape a pluie me fera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,,,3,,"F-Pn fr. 881, fol. 73 ra (C)",Ne]ne; chape]chape,ne m'en chaut de ce villain chape a pluie me fera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,,,4,,"B-Br 10988, fol. 50 v (D)",Ne]ne; m'en]m'en; chaut]chault; ce]cel; chape]ma chappe; fera]fera.,ne m'en chault de cel villain ma chappe a pluie me fera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
1358,,,,"Ne m'ociez mie, bele, se vos plaist, que jamais n'avriez un ami si trés vrai.",1,littéraire,Jalousie v. 338-339,1e moitié xiiie   ,1e moitié xiiie   ,,,,,,,,,Dit,?,,,,,l'auteur,La dame,Prière à la dame,Discours,,,,1,,"F-Pn fr. 19152, fol. 112 rb",Ne]ne; se]si; vos]uos; que jamais n'avriez un ami si trés vrai]que iamais n'auriez .i. ami si tres urai,ne m'ociez mie bele si uos plaist que iamais n'auriez .i. ami si tres urai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11A11,,,,,,,,,,,,,
1359,,,,"Ne m'ociés mie, je sui vos loiaus amis.",1,lyrique (polyphonie),"Au douz tans que   chantent /   Biaus,   dous amis (int.) / Manere","Lu: 85 / 86 / M5   L: 265-171   MW: 91, 1   ",,,,265-171,,,"91, 1",85 / 86 / M5,Interne,Motet,?,,,,,,,,,,,,1,1_files/image4104.png,"F-MO H 196, fol. 164 r",,ne m'ociés mie. ie sui vos loiaus amis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4106.png,"D-BAs Lit. 115, fol. 9 vb",,ne m'ociés mie ie sui vos loiaus amis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image4108.png,"I-Tr Vari 42, fol. 7 vb",,ne m'ochiés mies ie sui vos loiaus amis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5A7,,,,,,,,,,,,,
1360,,,,"Ne m'oblieiz, douce dame, se sovent ver vos ne voix.",1,lyrique (monodie),De vrai cuer humeliant,"RS: 345   L: 265-508   MW: 1098, 1   ",,,345,265-508,,,"1098, 1",,Fin de strophe,Ballette à refrain (3 st.),?,,,,,L'auteur,Sa dame,,,Chanter (st. 1),,Dire (st. 2); prier (st. 3),1,,"GB-Ob Douce 308, fol. 232 (243) vb",Ne]ne st. I; sovent ver vos ne voix]souent uer uos ne uoix. st. I,,,,,,,,,,,,,,,,ne m'oblieiz douce dame se souent uer uos ne uoix.,,,ne m'obliez douce,,,ne m'oblieis douce dame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,,,,,,,,,,
1361,,,,"Ne m'oubliés mie, bele et avenanz: quant je ne voz voi, s'en sui plus dolans.",1,lyrique (polyphonie),La plus bele riens vivant (fin) /   [Pacem],"Lu: 567 / M72   L: 265-982   MW: 1389, 1   ",,,,265-982,,,"1389, 1",567 / M72,Final,Motet,?,,,,,,,,,,,,1,1_files/image4110.png,"F-MO H 196, fol. 253 r",,ne m'oubliés mie bele et auenanz quant ie ne vos voi s'en sui plus dolans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11B5A5,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),Ne m'oubliés mie (déb.) / Domino,"Lu: 754 / BD I   T: 78   L: 265-1197   MW: 1400, 1   ",,,,265-1197,,78,"1400, 1",754 / BD I,Initial,Motet,?,,,,,,,,,,,,1,1_files/image4112.png,"I-Fl Plut. 29. 1, fol. 88 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image4114.png,"F-MO H 196, fol. 261 v",,Ne m'oubliez mie bele et auenant quant ie ne voz voi s'en sui plus dolens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11B5A5,,,,,,,,,,,,,
